name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Ranau Airport,116.6793387,5.9559637,aerodrome,Jalan Kampung SInarut,,,,,Sabah,"89307",Malaysia,Malaysia Airports,,,,,
Dungun Airport,103.3820038,4.7862902,aerodrome,T114,,,,Dungun,Terengganu,"23000",Malaysia,,,,,,
Segamat Airport,102.8399233,2.498033,aerodrome,Jalan Anggerik,,,,Segamat,Johor,"85000",Malaysia,,,,,,
Ulu Bernam Airport,101.1693187,3.7387129,aerodrome,Jalan Sabak Bernam - Hulu Selangor,,,,,Selangor,,Malaysia,,,,,,
Taxi Boats Around Islands,102.7299312,5.8956946,taxi,Jungle Trekking,,,,,Terengganu,,Malaysia,,,,,,
,102.5584017,5.8306257,ferry_terminal,Lorong Tujuh,,,Kuala Besut,,Terengganu,"22300",Malaysia,,,station,,,
Jeti Mutiara Taman Negara,102.4006847,4.3845519,ferry_terminal,FT1508,,,,,Pahang,,Malaysia,,,,,,
,102.3159087,4.0699878,ferry_terminal,"234",,,,,Pahang,"27010",Malaysia,,,station,,,
Kuala Litut,114.8375461,4.0963649,ferry_terminal,Clearwater Picnic Ground,,,Mulu,,Sarawak,"98008",Malaysia,,,,,,
,100.2076118,5.4624644,ferry_terminal,Jalan Hassan Abas,,,,George Town,Pulau Pinang,"11050",Malaysia,,,station,,,
,114.4003303,3.7722858,ferry_terminal,Long Lama - Long Bedian,,,Long Lama,,Sarawak,"98300",Malaysia,,,,,,
,114.4009714,3.7710128,ferry_terminal,,,,Long Lama,,Sarawak,"98300",Malaysia,,,,,,
,104.1556467,2.849098,ferry_terminal,Air Batang,,,,Tioman,Pahang,,Malaysia,,,station,,,
Pulau Marina,100.6007728,4.2124852,ferry_terminal,Jalan Jetty Complex,,,Lumut,,Perak,"32200",Malaysia,,,station,,,
Muar Jetty,102.5526691,2.0500769,ferry_terminal,Jalan Petrie,,,,Muar,Johor,"84000",Malaysia,,,station,,,
KB07 UKM,101.7877867,2.9395784,station,Persiaran KWSP,,,,Majlis Perbandaran Kajang,Selangor,"43600",Malaysia,Keretapi Tanah Melayu,KB07,station,train,yes,KTM Komuter
B,101.7113737,3.1459286,subway_entrance,Jalan Sultan Ismail,Bukit Bintang,,,Kuala Lumpur,Kuala Lumpur,"55100",Malaysia,,B,,,,
,101.7115704,3.144895,taxi,Jalan Sultan Ismail,Bukit Bintang,,,Kuala Lumpur,Kuala Lumpur,"50200",Malaysia,,,,,,
,101.6762105,3.1164786,taxi,Medan Syed Putra Selatan,Seputeh,,,Kuala Lumpur,Kuala Lumpur,"50614",Malaysia,,,,,,
,113.7622366,3.8229944,ferry_terminal,Ke Batu Guano,,,Batu Niah,,Sarawak,,Malaysia,,,station,,,
Pengkalan Lobang,113.7623353,3.8234054,ferry_terminal,Ke Batu Guano,,,Batu Niah,,Sarawak,,Malaysia,,,station,,,
,113.7807225,3.7359402,bus_station,Jalan Ngu,,,,,Sarawak,,Malaysia,,,,,,
,113.7781147,3.7349021,bus_station,Jalan Ngu,,,,,Sarawak,,Malaysia,,,station,,,
Gua Musang,101.9667704,4.8789038,station,Jalan Kota Bharu – Gua Musang,,,Gua Musang,,Kelantan,"18300",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Terminal Bas Tampin,102.2302564,2.4665236,bus_station,Lorong 1,,,Pulau Sebang,,Melaka,"73000",Malaysia,,,station,,,
,115.6001133,5.5687113,ferry_terminal,Jalan Feri Lama,,,Kuala Penyu,,Sabah,"89740",Malaysia,,,,,,
,115.5985137,5.5697705,ferry_terminal,,,,Kuala Penyu,,Sabah,"89740",Malaysia,,,,,,
Membakut,115.7967816,5.4726704,station,Jalan Membakut Lama,,,Membakut,,Sabah,,Malaysia,SSR,,station,train,yes,
Putatan,116.0488595,5.8936708,station,Jalan Putatan,,,Putatan,,Sabah,"88220",Malaysia,SSR,,station,train,yes,
B,101.6049325,3.1132076,subway_entrance,Jalan SS 25/2,SS 25,,,Petaling Jaya,Selangor,"47301",Malaysia,,,,,,
Johor Bahru Sentral,103.7646343,1.4629737,station,JB Sentral,,,,Johor Bahru,Johor,"80730",Malaysia,KTM,,station,train,yes,"KTM Intercity;Tebrau Shuttle"
,111.7181548,2.8050829,ferry_terminal,Jalan Igan-Matu,,,Igan,,Sarawak,,Malaysia,,,,,,
,115.7969961,5.3049738,halt,,,,,,Sabah,,Malaysia,,,stop_position,,,
,115.7950683,5.3077904,halt,,,,,,Sabah,,Malaysia,,,stop_position,,,
,115.7919411,5.3150943,halt,,,,Beaufort,,Sabah,"89807",Malaysia,,,stop_position,,,
,115.753928,5.3394743,halt,Jalan Montenior,Beaufort Jaya,,Beaufort,,Sabah,"89808",Malaysia,,,stop_position,,,
,115.7713526,5.3437664,halt,,,,Beaufort,,Sabah,"89807",Malaysia,,,stop_position,,,
Taxi Station,101.5947203,3.061681,taxi,Jalan Subang 1,UEP Subang Jaya,,,Majlis Bandaraya Subang Jaya,Selangor,"47500",Malaysia,,,,,,
,101.7207402,2.73961,taxi,Jalan KLIA S3,,,,Sepang,Selangor,"64000",Malaysia,,,,,,
,101.7042039,2.7547416,taxi,KLIA Departure,,,,Sepang,Selangor,"64000",Malaysia,,,,,,
,101.9722351,6.0188864,bus_station,Jalan Besar,,,Rantau Panjang,,Kelantan,"17200",Malaysia,,,station,,,
Hentian Bandar Utama,101.613241,3.1514356,bus_station,Central Park Avenue,Bandar Utama,,,Petaling Jaya,Selangor,"47800",Malaysia,Rapid Bus,PJ530,platform,,yes,"Rapid KL Bus;PJ City Bus"
Wakaf Bharu,102.2006487,6.11843,station,Jalan Stesen,,,Wakaf Bharu,,Kelantan,"16250",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Jeti Pulau Redang,103.0033451,5.7556172,ferry_terminal,,,,,,,,Malaysia,,,station,,,
Pulau Redang (Jeti Laguna),103.0311168,5.7673975,ferry_terminal,,,,,,,,Malaysia,,,station,,,
,103.3254759,3.8038931,taxi,Jalan Mahkota,,,,Kuantan,Pahang,"25100",Malaysia,,,,,,
,100.1823512,5.4512046,ferry_terminal,Connector Trail,,,,George Town,Pulau Pinang,"11050",Malaysia,,,stop_position,,,
,100.2002744,5.4684033,ferry_terminal,Canopy Walkway,,,,George Town,Pulau Pinang,"11050",Malaysia,,,stop_position,,,
Terminal Bas Slim River,101.4046473,3.8281827,bus_station,Jalan Pasar,,,Slim River,,Perak,"35800",Malaysia,,,station,,,
Jeti Kuala Kedah,100.2899223,6.1073754,ferry_terminal,Jalan Kuala Kedah,,,Kuala Kedah,,Kedah,"06600",Malaysia,,,station,,,
Kuala Perlis,100.1275336,6.3982232,ferry_terminal,Jalan Kuala Perlis – Changlun,,,Kuala Perlis,,Perlis,"02000",Malaysia,,,station,,,
KB17 Pulau Sebang/Tampin,102.2262731,2.4638765,station,Jalan Stesyen Keretapi,,,Pulau Sebang,,Melaka,"73000",Malaysia,KTM,KB17,station,train,yes,
Kuah Taxi Stand,99.8490514,6.3224423,taxi,Jalan Pandak Mayah 1,,,Kuah,,Kedah,,Malaysia,,,,,,
,109.6479931,2.0773468,ferry_terminal,Track To Tanjung Datu Lighthouse,,,,,Sarawak,,Malaysia,,,station,,,
,101.7908956,2.983656,taxi,Jalan Bukit,,,,Majlis Perbandaran Kajang,Selangor,"43000",Malaysia,,,,,,
,104.0886394,1.3708355,ferry_terminal,J52,,,,,Johor,,Malaysia,,,station,,,
Kuala Lipis,102.0537253,4.1865285,station,Jalan Pekeliling,,,Kuala Lipis,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Tanjung Leman,104.0050075,2.1523459,ferry_terminal,,,,,,Johor,,Malaysia,,,station,,,
,104.062318,2.2170229,ferry_terminal,,,,,,Johor,,Malaysia,,,station,,,
